idx,reference_path,search_path,search_marked_path,gt_x,gt_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,rotation_deg
19,references/ref_00019.png,searches/search_00019.png,searches_marked/search_marked_00019.png,333.500,436.000,283,386,384,486,2.302
20,references/ref_00020.png,searches/search_00020.png,searches_marked/search_marked_00020.png,183.500,673.500,133,623,234,724,0.000
21,references/ref_00021.png,searches/search_00021.png,searches_marked/search_marked_00021.png,418.500,250.000,368,200,469,300,0.000
22,references/ref_00022.png,searches/search_00022.png,searches_marked/search_marked_00022.png,616.500,247.000,566,197,667,297,0.000
23,references/ref_00023.png,searches/search_00023.png,searches_marked/search_marked_00023.png,406.500,320.500,356,270,457,371,0.000
24,references/ref_00024.png,searches/search_00024.png,searches_marked/search_marked_00024.png,604.500,642.500,554,592,655,693,-5.850
25,references/ref_00025.png,searches/search_00025.png,searches_marked/search_marked_00025.png,452.000,482.000,402,432,502,532,0.000
26,references/ref_00026.png,searches/search_00026.png,searches_marked/search_marked_00026.png,422.500,619.000,372,569,473,669,0.000
27,references/ref_00027.png,searches/search_00027.png,searches_marked/search_marked_00027.png,660.000,549.500,610,499,710,600,6.560
28,references/ref_00028.png,searches/search_00028.png,searches_marked/search_marked_00028.png,163.500,228.500,113,178,214,279,6.384
29,references/ref_00029.png,searches/search_00029.png,searches_marked/search_marked_00029.png,271.000,434.500,221,384,321,485,5.177
30,references/ref_00030.png,searches/search_00030.png,searches_marked/search_marked_00030.png,408.500,200.500,358,150,459,251,0.000
31,references/ref_00031.png,searches/search_00031.png,searches_marked/search_marked_00031.png,350.500,338.500,300,288,401,389,-6.292
32,references/ref_00032.png,searches/search_00032.png,searches_marked/search_marked_00032.png,522.500,423.500,472,373,573,474,0.000
33,references/ref_00033.png,searches/search_00033.png,searches_marked/search_marked_00033.png,183.000,575.500,133,525,233,626,0.000
34,references/ref_00034.png,searches/search_00034.png,searches_marked/search_marked_00034.png,136.000,118.000,86,68,186,168,0.000
35,references/ref_00035.png,searches/search_00035.png,searches_marked/search_marked_00035.png,435.000,595.500,385,545,485,646,3.967
36,references/ref_00036.png,searches/search_00036.png,searches_marked/search_marked_00036.png,575.000,652.500,525,602,625,703,0.000
37,references/ref_00037.png,searches/search_00037.png,searches_marked/search_marked_00037.png,296.000,603.500,246,553,346,654,0.000
38,references/ref_00038.png,searches/search_00038.png,searches_marked/search_marked_00038.png,657.500,441.500,607,391,708,492,0.000
39,references/ref_00039.png,searches/search_00039.png,searches_marked/search_marked_00039.png,301.000,218.500,251,168,351,269,0.000
40,references/ref_00040.png,searches/search_00040.png,searches_marked/search_marked_00040.png,460.000,513.000,410,463,510,563,0.000
41,references/ref_00041.png,searches/search_00041.png,searches_marked/search_marked_00041.png,132.500,352.500,82,302,183,403,7.530
42,references/ref_00042.png,searches/search_00042.png,searches_marked/search_marked_00042.png,574.000,440.500,524,390,624,491,0.000
43,references/ref_00043.png,searches/search_00043.png,searches_marked/search_marked_00043.png,658.500,612.000,608,562,709,662,7.193
44,references/ref_00044.png,searches/search_00044.png,searches_marked/search_marked_00044.png,460.500,229.500,410,179,511,280,0.000
45,references/ref_00045.png,searches/search_00045.png,searches_marked/search_marked_00045.png,250.000,223.500,200,173,300,274,0.000
46,references/ref_00046.png,searches/search_00046.png,searches_marked/search_marked_00046.png,622.500,337.500,572,287,673,388,0.000
47,references/ref_00047.png,searches/search_00047.png,searches_marked/search_marked_00047.png,212.000,350.500,162,300,262,401,4.733
48,references/ref_00048.png,searches/search_00048.png,searches_marked/search_marked_00048.png,240.000,371.500,190,321,290,422,0.000
49,references/ref_00049.png,searches/search_00049.png,searches_marked/search_marked_00049.png,605.500,547.000,555,497,656,597,0.000
50,references/ref_00050.png,searches/search_00050.png,searches_marked/search_marked_00050.png,329.500,342.000,279,292,380,392,0.000
51,references/ref_00051.png,searches/search_00051.png,searches_marked/search_marked_00051.png,523.500,598.500,473,548,574,649,0.000
52,references/ref_00052.png,searches/search_00052.png,searches_marked/search_marked_00052.png,494.500,363.500,444,313,545,414,3.997
53,references/ref_00053.png,searches/search_00053.png,searches_marked/search_marked_00053.png,290.000,544.500,240,494,340,595,0.000
54,references/ref_00054.png,searches/search_00054.png,searches_marked/search_marked_00054.png,444.500,648.500,394,598,495,699,0.000
55,references/ref_00055.png,searches/search_00055.png,searches_marked/search_marked_00055.png,373.500,360.500,323,310,424,411,7.138
56,references/ref_00056.png,searches/search_00056.png,searches_marked/search_marked_00056.png,558.500,131.500,508,81,609,182,2.080
57,references/ref_00057.png,searches/search_00057.png,searches_marked/search_marked_00057.png,551.000,165.500,501,115,601,216,0.000
58,references/ref_00058.png,searches/search_00058.png,searches_marked/search_marked_00058.png,584.000,493.500,534,443,634,544,0.000
59,references/ref_00059.png,searches/search_00059.png,searches_marked/search_marked_00059.png,434.500,310.000,384,260,485,360,0.000
60,references/ref_00060.png,searches/search_00060.png,searches_marked/search_marked_00060.png,673.500,129.500,623,79,724,180,3.660
61,references/ref_00061.png,searches/search_00061.png,searches_marked/search_marked_00061.png,463.500,248.500,413,198,514,299,0.000
62,references/ref_00062.png,searches/search_00062.png,searches_marked/search_marked_00062.png,681.000,239.500,631,189,731,290,-6.894
63,references/ref_00063.png,searches/search_00063.png,searches_marked/search_marked_00063.png,386.500,569.000,336,519,437,619,-2.860
64,references/ref_00064.png,searches/search_00064.png,searches_marked/search_marked_00064.png,211.500,416.500,161,366,262,467,0.000
65,references/ref_00065.png,searches/search_00065.png,searches_marked/search_marked_00065.png,203.500,513.500,153,463,254,564,7.343
66,references/ref_00066.png,searches/search_00066.png,searches_marked/search_marked_00066.png,525.500,159.500,475,109,576,210,0.000
67,references/ref_00067.png,searches/search_00067.png,searches_marked/search_marked_00067.png,340.000,212.500,290,162,390,263,-7.606
68,references/ref_00068.png,searches/search_00068.png,searches_marked/search_marked_00068.png,531.500,322.500,481,272,582,373,-2.662
69,references/ref_00069.png,searches/search_00069.png,searches_marked/search_marked_00069.png,369.500,591.000,319,541,420,641,0.000
70,references/ref_00070.png,searches/search_00070.png,searches_marked/search_marked_00070.png,165.500,314.000,115,264,216,364,-2.732
71,references/ref_00071.png,searches/search_00071.png,searches_marked/search_marked_00071.png,509.000,491.500,459,441,559,542,0.000
72,references/ref_00072.png,searches/search_00072.png,searches_marked/search_marked_00072.png,664.500,239.500,614,189,715,290,0.000
73,references/ref_00073.png,searches/search_00073.png,searches_marked/search_marked_00073.png,327.500,140.000,277,90,378,190,0.000
74,references/ref_00074.png,searches/search_00074.png,searches_marked/search_marked_00074.png,575.500,353.500,525,303,626,404,-7.725
75,references/ref_00075.png,searches/search_00075.png,searches_marked/search_marked_00075.png,629.000,306.500,579,256,679,357,0.000
76,references/ref_00076.png,searches/search_00076.png,searches_marked/search_marked_00076.png,253.500,148.500,203,98,304,199,0.000
77,references/ref_00077.png,searches/search_00077.png,searches_marked/search_marked_00077.png,492.500,458.000,442,408,543,508,0.000
78,references/ref_00078.png,searches/search_00078.png,searches_marked/search_marked_00078.png,483.500,524.500,433,474,534,575,-4.752
79,references/ref_00079.png,searches/search_00079.png,searches_marked/search_marked_00079.png,219.000,448.500,169,398,269,499,5.840
80,references/ref_00080.png,searches/search_00080.png,searches_marked/search_marked_00080.png,550.500,380.500,500,330,601,431,0.000
81,references/ref_00081.png,searches/search_00081.png,searches_marked/search_marked_00081.png,357.000,168.000,307,118,407,218,0.000
82,references/ref_00082.png,searches/search_00082.png,searches_marked/search_marked_00082.png,248.500,529.000,198,479,299,579,0.000
83,references/ref_00083.png,searches/search_00083.png,searches_marked/search_marked_00083.png,596.000,137.500,546,87,646,188,0.000
84,references/ref_00084.png,searches/search_00084.png,searches_marked/search_marked_00084.png,469.500,463.000,419,413,520,513,2.448
85,references/ref_00085.png,searches/search_00085.png,searches_marked/search_marked_00085.png,385.000,485.500,335,435,435,536,0.000
86,references/ref_00086.png,searches/search_00086.png,searches_marked/search_marked_00086.png,563.500,522.500,513,472,614,573,0.000
87,references/ref_00087.png,searches/search_00087.png,searches_marked/search_marked_00087.png,318.500,244.500,268,194,369,295,0.000
88,references/ref_00088.png,searches/search_00088.png,searches_marked/search_marked_00088.png,381.500,354.000,331,304,432,404,0.000
89,references/ref_00089.png,searches/search_00089.png,searches_marked/search_marked_00089.png,544.500,680.000,494,630,595,730,-7.478
90,references/ref_00090.png,searches/search_00090.png,searches_marked/search_marked_00090.png,178.500,605.000,128,555,229,655,7.801
91,references/ref_00091.png,searches/search_00091.png,searches_marked/search_marked_00091.png,438.500,259.000,388,209,489,309,0.000
92,references/ref_00092.png,searches/search_00092.png,searches_marked/search_marked_00092.png,638.500,512.000,588,462,689,562,0.000
93,references/ref_00093.png,searches/search_00093.png,searches_marked/search_marked_00093.png,376.500,356.500,326,306,427,407,0.000
94,references/ref_00094.png,searches/search_00094.png,searches_marked/search_marked_00094.png,217.500,128.000,167,78,268,178,0.000
95,references/ref_00095.png,searches/search_00095.png,searches_marked/search_marked_00095.png,289.500,142.000,239,92,340,192,0.000
96,references/ref_00096.png,searches/search_00096.png,searches_marked/search_marked_00096.png,677.000,512.500,627,462,727,563,2.174
97,references/ref_00097.png,searches/search_00097.png,searches_marked/search_marked_00097.png,256.500,249.000,206,199,307,299,0.000
98,references/ref_00098.png,searches/search_00098.png,searches_marked/search_marked_00098.png,554.500,599.500,504,549,605,650,0.000
99,references/ref_00099.png,searches/search_00099.png,searches_marked/search_marked_00099.png,494.500,404.500,444,354,545,455,0.000
